,Tipo de Empresa,Mercado,Edad Empresa,Rol,Fundador,% en Desarrollo,% en Gerencia de proyectos,% liderazgo técnico,% Gerencia de ingeniería,Experiencia en rol actual,Experiencia en desarrollo de software,Lenguaje más usado,Otro lenguaje ,Tipo de relación laboral,Modo de trabajo,Preferencias de modo,Tipo de titulo,PRE-grado relacionado Ing,POST-grado relacionado a Ing,Clases de programación en la universidad,Max Titulo,Bootcamp,Url bootcamp,Nivel de Ingles,Moneda de Pago,Remuneración Anual,Remuneración anual adicional,Remuneración Anual anterior,Pago Seguro de Salud,Pago Seguridad Social,Acciones dentro de la empresa,Total acciones,Precio acciones,Freelancer,Ingresos freelancer,Salario Justo,Web de trabajo,Ciudad Residencia,Origen,Año de Nacimiento,Cnt Hijos,Genero,Minoría racial o étnica,Horas de trabajo,Máx % Dev,Máx % I.M,Máx % Tech L,Máx % PM,Rol principal,Ingreso en dólares,Nivel de ingles,Ingreso en pesos,Order by Exp,count,Origen 2,Nacionalidad
0,,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Frontend Engineer,no,80 - 90%,10 - 20%,50 - 60%,20 - 30%,5 - 10 años,5 - 10 años,Javascript,"JavaScript, HTML / CSS, TypeScript, Rust, Swift, WebAssembly",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (tenia oficina, pero podia trabajar desde casa cuando quisiera)",trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,72000000.0,12000000,31200000,mi empleador,mi empleador,no,,,si,0,no,https://linkedin.com,Medellin,Colombia,1986,0,él,no,,90,30,60,20,Desarrollo,19459.5,Intermedio,72000150.0,5,1,Colombia,Colombia
1,"Colombiana, Mer EEUU",consultoría y servicios de desarrollo de software a la medida,5 - 10,Frontend Developer,no,70 - 80%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,No respondio,"HTML / CSS, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,,trabajo flexible,universitario,no,no,si,pregrado,No,,3,pesos,43200000.0,0,24000000,mi empleador,mi empleador,no,,,no,3000000,si,https://www.linkedin.com/,Barranquilla,Colombia,1994,0,él,no,,80,0,0,0,Desarrollo,11675.7,Avanzado,43200090.0,4,1,Colombia,Colombia
2,Extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Software Engineer,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,5 - 10 años,5 - 10 años,Java,"JavaScript, HTML / CSS, TypeScript",contrato a termino indefinido,presencial (ocupaba mas del 70% de su tiempo en una oficina),trabajo remoto,universitario,si,no,no,pregrado,No,,2,pesos,102000000.0,20000000,70000000,mi empleador,mi empleador,no,,,no,0,si,https://linkedin.com,Bogota,Colombia,1992,0,él,no,,80,0,20,0,Desarrollo,27567.6,Intermedio,102000120.0,5,1,Colombia,Colombia
3,,consultoría y servicios de desarrollo de software a la medida,5 - 10,Desarrollador de Software,no,80 - 90%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,5 - 10 años,Ruby,Ruby,contrato a termino indefinido,presencial (ocupaba mas del 70% de su tiempo en una oficina),trabajo flexible,universitario,si,si,si,pregrado,No,,3,pesos,62400000.0,0,0,mi empleador,mi empleador,no,,,no,0,si,https://linkedin.com,Barranquilla,Colombia,1989,0,él,no,,90,0,10,10,Desarrollo,16864.9,Avanzado,62400130.00000001,5,1,Colombia,Colombia
4,Extranjera,consultoría y servicios de desarrollo de software a la medida,menos de 1,[redactado],no,10 - 20%,0 - 10%,30 - 40%,40 - 50%,menos de 1 año,3 - 5 años,No respondio,"Python, PHP",contrato a termino indefinido,,trabajo flexible,universitario,si,no,si,pregrado,Sí,https://www.freecodecamp.org/,2,pesos,51000000.0,12000000,25200000,yo,yo,no,,,no,0,si,http://colombia-dev.slack.com,Pereira,Colombia,1990,0,él,no,,20,50,40,10,Gerencia de Ingenieria,13783.8,Intermedio,51000060.0,4,1,Colombia,Colombia
5,Extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Senior Software Engineer,no,60 - 70%,0 - 10%,0 - 10%,0 - 10%,2+ años,5 - 10 años,Go,"JavaScript, Python, Ruby, Shell",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 70% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,3,pesos,140000000.0,360000000,78000000,mi empleador,mi empleador,si - rsus,200.0,80.0,no,0,si,https://greenhouse.com,Bogota,Colombia,1991,0,él,no,,70,10,10,10,Desarrollo,37837.8,Avanzado,139999860.0,5,1,Colombia,Colombia
6,Extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Web Developer,no,90 - 100%,no tengo responsabilidades de este tipo,50 - 60%,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,Typescript,JavaScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,,3,pesos,90000000.0,15000000,35000000,mi empleador,mi empleador,no,,,no,0,no,http://linkedin.com,Medellin,Colombia,1990,0,él,no,,100,0,60,0,Desarrollo,24324.3,Avanzado,89999910.0,5,1,Colombia,Colombia
7,"Colombiana, Mer EEUU",consultoría y servicios de desarrollo de software a la medida,menos de 1,iOS Developer,si,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Swift,Java,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,120000000.0,1000000,96000000,mi empleador,mi empleador,no,,,no,0,si,http://linkedin.com,Medellin,Colombia,1989,0,él,no,,90,0,0,0,Desarrollo,32432.4,Intermedio,119999880.0,4,1,Colombia,Colombia
8,"Colombiana, Mer EEUU","servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Backend Engineer,no,80 - 90%,0 - 10%,0 - 10%,no tengo responsabilidades gerenciales,2+ años,3 - 5 años,Html / css,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,45000000.0,3750000,24000000,mi empleador,mi empleador,no,,,no,0,si,http://linkedin.com,Medellin,Colombia,1994,0,él,no,,90,0,10,10,Desarrollo,12162.2,Intermedio,45000140.0,4,1,Colombia,Colombia
9,"Colombiana, Mer Local","servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,No especificado,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2+ años,2+ años,Ruby,"JavaScript, HTML / CSS",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,,1,pesos,36000000.0,0,1500000,mi empleador,mi empleador,si - stock options,1.0,,no,0,no,,Bogota,Colombia,1995,0,él,no,,100,0,0,0,Desarrollo,9729.7,Básico,35999890.0,3,1,Colombia,Colombia
10,Extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Software Architect,no,70 - 80%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,10 - 15 años,10 - 15 años,Typescript,JavaScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,ningúno,no,no,si,bachiller,No,,3,pesos,169261632.0,14105136,105231230,mi empleador,mi empleador,no,,,no,0,si,,Medellin,Colombia,1989,3,él,no,,80,0,20,10,Desarrollo,45746.4,Avanzado,169261680.0,6,1,Colombia,Colombia
11,"Colombiana, Mer Latam","servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,desarrollador front-end,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,1+ año,Html / css,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,1,pesos,24000000.0,2000000,3000000,mi empleador,mi empleador,no,,,no,0,no,http://linkedin.com,Medellin,Colombia,1988,0,él,no,,100,0,0,0,Desarrollo,6486.5,Básico,24000050.0,2,1,Colombia,Colombia
12,"Colombiana, Mer EEUU",consultoría y servicios de desarrollo de software a la medida,más de 10,Sr Technical Consultant & Tech Lead,no,30 - 40%,10 - 20%,20 - 30%,0 - 10%,3 - 5 años,5 - 10 años,Javascript,"ninguno,  por que soy manager 😭",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,,3,pesos,133800000.0,16725000,81600000,mi empleador,mi empleador,no,,,no,0,si,http://www.linkedin.com,Bogota,Colombia,1989,0,él,no,,40,10,30,20,Sin Clasificar,36162.2,Avanzado,133800139.99999999,5,1,Colombia,Colombia
13,Freelancer,soy independiente,soy independiente,Desarrollador senior,no,90 - 100%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,10 - 15 años,10 - 15 años,Typescript,Python,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,,1,pesos,140000000.0,15000000,133000000,yo,yo,no,,,no,0,no,,Bogota,Colombia,1984,2,él,no,,100,0,20,10,Desarrollo,37837.8,Básico,139999860.0,6,1,Colombia,Colombia
14,"Colombiana, Mer Local",consultoría y servicios de desarrollo de software a la medida,2 - 5,Frontend Developer,no,90 - 100%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,Javascript,TypeScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,ningúno,si,no,si,bachiller,Sí,https://platzi.com/,1,pesos,42000000.0,0,21000000,mi empleador,mi empleador,no,,,no,0,no,http://colombia-dev.slack.com,Medellin,Colombia,1977,3,ella,no,,100,0,10,0,Desarrollo,11351.4,Básico,42000180.0,5,1,Colombia,Colombia
15,,consultoría y servicios de desarrollo de software a la medida,2 - 5,Senior Front-end,si,80 - 90%,0 - 10%,30 - 40%,10 - 20%,2+ años,5 - 10 años,Javascript,"Dart, Elm, PHP, Python, Rust, TypeScript",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,técnico,no,no,no,bachiller,No,,1,pesos,64800000.0,0,0,mi empleador,mi empleador,si - stock options,,,si,30000000,no,,Envigado,Colombia,1990,0,él,no,,90,20,40,10,Desarrollo,17513.5,Básico,64799950.0,5,1,Colombia,Colombia
16,"Colombiana, Mer Local","servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",1,Coordinador Técnico,no,50 - 60%,no tengo responsabilidades de este tipo,40 - 50%,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,Javascript,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,,1,pesos,12000000.0,1000000,15000000,mi empleador,mi empleador,no,,,no,0,no,https://www.perfiltic.com/,Armenia,Colombia,1987,0,él,no,,60,0,50,0,Desarrollo,3243.2,Básico,11999840.0,1,1,Colombia,Colombia
17,Freelancer,soy independiente,soy independiente,Independiente,no,90 - 100%,30 - 40%,30 - 40%,30 - 40%,5 - 10 años,10 - 15 años,Php,"C, C++, Java, JavaScript, Python, TypeScript",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,si,si,maestria,Sí,,2,pesos,44000000.0,5000000,40000000,yo,yo,no,,,soy independiente,250000000,si,https://www.indeed.com,Armenia,Colombia,1980,0,él,Afrocolombiano o Afrodescendiente,,100,40,40,40,Desarrollo,11891.9,Intermedio,44000030.0,6,1,Colombia,Colombia
18,"Colombiana, Mer Local","servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",más de 10,Full stack,no,70 - 80%,10 - 20%,0 - 10%,0 - 10%,2+ años,2+ años,Javascript,PHP,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,1,pesos,36000000.0,1000000,0,mi empleador,mi empleador,no,,,no,0,si,http://linkedin.com,Armenia,Colombia,1995,0,él,no,,80,10,10,20,Desarrollo,9729.7,Básico,35999890.0,3,1,Colombia,Colombia
19,"Colombiana, Mer EEUU",consultoría y servicios de desarrollo de software a la medida,más de 10,Frontend Developer,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Javascript,TypeScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,74400000.0,7700000,60000000,mi empleador,mi empleador,no,,,si,0,no,https://colombia-dev.slack.com,Sabaneta,Colombia,1995,0,él,no,,90,0,20,0,Desarrollo,20108.1,Intermedio,74399970.0,4,1,Colombia,Colombia
20,,consultoría y servicios de desarrollo de software a la medida,más de 10,Software Engineer 2,no,90 - 100%,no tengo responsabilidades de este tipo,20 - 30%,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,Java,"JavaScript, PHP",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,,1,pesos,34776000.0,0,24200000,mi empleador,mi empleador,no,,,si,1600000,no,http://linkedin.com,Pereira,Colombia,1993,0,él,no,,100,0,30,0,Desarrollo,9398.9,Básico,34775930.0,4,1,Colombia,Colombia
21,"Colombiana, Mer Latam","servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Backend Engineer,no,80 - 90%,no tengo responsabilidades de este tipo,40 - 50%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,Javascript,Go,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,102000000.0,0,60000000,mi empleador,mi empleador,no,,,no,0,si,https://www.google.com/url?q=http://linkedin.com&sa=D&ust=1592439752759000&usg=AFQjCNFAqDiA-sbcry6qs-4tTRNWMsWg4A,Bogota,Colombia,1997,0,él,no,,90,0,50,0,Desarrollo,27567.6,Intermedio,102000120.0,5,1,Colombia,Colombia
22,"Colombiana, Mer Local","servicio no tecnológico (banca, seguros, contabilidad, etc)",2 - 5,Front end,no,80 - 90%,10 - 20%,0 - 10%,no tengo responsabilidades gerenciales,1+ año,menos de 1 año,Python,C,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,,2,pesos,12000000.0,12000000,10000000,mi empleador,mi empleador,si - rsus,,,no,0,si,https://www.facebook.com,Cali,Colombia,1984,1,él,no,,90,0,10,20,Desarrollo,3243.2,Intermedio,11999840.0,1,1,Colombia,Colombia
23,,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,Ingeniero de sistemas,no,70 - 80%,10 - 20%,0 - 10%,no tengo responsabilidades gerenciales,3 - 5 años,3 - 5 años,Java,"ninguno,  por que soy manager 😭",contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,,1,pesos,54000000.0,10150000,0,mi empleador,yo,no,,,no,0,si,,Medellin,Colombia,1993,0,él,no,,80,0,10,20,Desarrollo,14594.6,Básico,54000020.0,4,1,Colombia,Colombia
24,"Colombiana, Mer Local","servicio no tecnológico (banca, seguros, contabilidad, etc)",menos de 1,Ing. De sistemas,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Php,"Dart, JavaScript, PHP, Python, Shell",contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,técnico,si,no,si,bachiller,No,,1,pesos,26000000.0,0,14200000,mi empleador,mi empleador,no,,,no,0,no,https://computrabajo.com,Armenia,Colombia,1996,0,él,no,,80,0,20,0,Desarrollo,7027.0,Básico,25999900.0,4,1,Colombia,Colombia
25,"Colombiana, Mer Local",consultoría y servicios de desarrollo de software a la medida,más de 10,Software Specialist,no,70 - 80%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,menos de 1 año,5 - 10 años,Plsql,"C#, Java",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,,2,pesos,75600000.0,0,62400000,mi empleador,mi empleador,no,,,no,0,si, http://linkedin.com,Santa rosa de cabal,Colombia,1987,0,él,no,,80,0,20,0,Desarrollo,20432.4,Intermedio,75599880.0,5,1,Colombia,Colombia
26,"Colombiana, Mer Local","servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,desarrollador fullstack,no,90 - 100%,0 - 10%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,3 - 5 años,10 - 15 años,Php,JavaScript,contrato a termino fijo,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,1,pesos,43000000.0,0,27000000,mi empleador,mi empleador,no,,,no,0,si,http://computrabajo.com.co,Armenia,Colombia,1983,0,él,no,,100,0,0,10,Desarrollo,11621.6,Básico,42999920.0,6,1,Colombia,Colombia
27,Extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Ingeniero de software,no,80 - 90%,no tengo responsabilidades de este tipo,10 - 20%,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,Javascript,Kotlin,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,72000000.0,6000000,48000000,mi empleador,mi empleador,no,,,no,0,si,,Medellin,Colombia,1995,0,él,no,,90,0,20,0,Desarrollo,19459.5,Intermedio,72000150.0,4,1,Colombia,Colombia
28,,consultoría y servicios de desarrollo de software a la medida,más de 10,Front-end engineer,no,70 - 80%,20 - 30%,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,menos de 1 año,Typescript,JavaScript,contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,universitario,si,no,si,pregrado,No,,3,pesos,45600000.0,0,0,mi empleador,yo,no,,,no,0,si,,Medellin,Colombia,1998,0,ella,no,,80,0,0,30,Desarrollo,12324.3,Avanzado,45599910.0,1,1,Colombia,Colombia
29,"Colombiana, Mer Latam","servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",5 - 10,fullstack developer,no,90 - 100%,no tengo responsabilidades de este tipo,20 - 30%,no tengo responsabilidades gerenciales,menos de 1 año,10 - 15 años,Javascript,Go,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,,1,pesos,50000000.0,28000000,50000000,mi empleador,mi empleador,no,,,no,0,si,,Armenia,Colombia,1980,2,él,no,,100,0,30,0,Desarrollo,13513.5,Básico,49999950.0,6,1,Colombia,Colombia
30,"Colombiana, Mer Latam","servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,[redactado],no,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,1+ año,Ruby,JavaScript,contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,no,no,no,pregrado,Sí,https://makeitreal.camp/,2,pesos,30000000.0,0,30000000,mi empleador,mi empleador,no,,,no,0,no, http://linkedin.com,Bogota,Colombia,1989,0,él,no,,90,0,0,0,Desarrollo,8108.1,Intermedio,29999970.0,2,1,Colombia,Colombia
31,"Colombiana, Mer Latam","servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Lider de tecnología,si,60 - 70%,no tengo responsabilidades de este tipo,10 - 20%,0 - 10%,,5 - 10 años,Typescript,"Java, JavaScript, Kotlin, Python, Scala, Swift, TypeScript, PgPLSQL",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,bachiller,No,,1,pesos,132000000.0,15000000,38000000,mi empleador,mi empleador,si - stock options,0.0,0.0,si,3750000,no,,Bogota,Colombia,1990,0,él,no,,70,10,20,0,Desarrollo,35675.7,Básico,132000089.99999999,5,1,Colombia,Colombia
32,"Colombiana, Mer Local","servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,Desarrollador backend,no,70 - 80%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,1+ año,Python,"Go, PHP, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo remoto,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,No,,1,pesos,36000000.0,0,0,mi empleador,mi empleador,no,,,no,0,no,http://linkedin.com,Bogota,Colombia,1996,0,ella,no,,80,0,0,0,Desarrollo,9729.7,Básico,35999890.0,2,1,Colombia,Colombia
33,"Colombiana, Mer Latam","servicio habilitado por tecnologia (similar a domicilios.com, uber, tappsi, bunny inc, etsy, e-commerce)",2 - 5,DevOps Engineer,no,40 - 50%,no tengo responsabilidades de este tipo,20 - 30%,10 - 20%,1+ año,10 - 15 años,Shell,"Go, JavaScript, PHP, Python",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,3,pesos,144000000.0,0,144000000,mi empleador,mi empleador,si - stock options,7000.0,3.0,no,210000000,si,,Bogota,Colombia,1985,0,él,no,,50,20,30,0,Desarrollo,38918.9,Avanzado,143999930.0,6,1,Colombia,Colombia
34,Extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Fullstack developer,no,80 - 90%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,menos de 1 año,2+ años,Java,"Java, JavaScript, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,90000000.0,18000000,67200000,mi empleador,mi empleador,no,,,no,0,no,http://linkedin.com,Medellin,Colombia,1997,0,él,no,,90,0,10,0,Desarrollo,24324.3,Intermedio,89999910.0,3,1,Colombia,Colombia
35,"Colombiana, Mer EEUU",consultoría y servicios de desarrollo de software a la medida,5 - 10,Desarrollador Backend,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Java,Kotlin,contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,no,bachiller,No,,3,pesos,82320000.0,35280000,5500000,mi empleador,mi empleador,no,,,no,0,si,https://linkedin.com,Puerto colombia,Colombia,1993,0,él,no,,100,0,0,0,Desarrollo,22248.6,Avanzado,82319820.0,4,1,Colombia,Colombia
36,Extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",más de 10,Senior Software Engineer,no,50 - 60%,10 - 20%,30 - 40%,10 - 20%,1+ año,10 - 15 años,Javascript,"JavaScript, Python",contratista internacional,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,si,si,maestria,No,,3,pesos,120000000.0,0,72000000,yo,yo,no,,,no,0,si,http://linkedin.com,Medellin,Colombia,1986,1,él,no,,60,20,40,20,Desarrollo,32432.4,Avanzado,119999880.0,6,1,Colombia,Colombia
37,,consultoría y servicios de desarrollo de software a la medida,5 - 10,Devops,no,60 - 70%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,2+ años,Groovy,"Java, JavaScript, Nix, Puppet, Python, Shell",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,si,no,si,pregrado,No,,2,pesos,120000000.0,0,0,mi empleador,mi empleador,no,0.0,0.0,no,0,si,http://linkedin.com,Bogota,Colombia,1990,0,él,no,,70,0,0,0,Desarrollo,32432.4,Intermedio,119999880.0,3,1,Colombia,Colombia
38,,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",5 - 10,Operations engineer,no,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,0 - 10%,menos de 1 año,5 - 10 años,Shell,HCL,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,si,si,maestria,No,,2,pesos,84000000.0,1500000,3900000,mi empleador,mi empleador,no,,,si,10000000,si,https://linkedin.com,Manizales,Colombia,1990,0,él,no,,90,10,0,0,Desarrollo,22702.7,Intermedio,83999990.0,5,1,Colombia,Colombia
39,Extranjera,consultoría y servicios de desarrollo de software a la medida,más de 10,Frontend developer,no,50 - 60%,50 - 60%,30 - 40%,no tengo responsabilidades gerenciales,3 - 5 años,10 - 15 años,Javascript,Clojure,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo remoto,universitario,si,no,no,maestria,No,,2,pesos,98000000.0,50000000,70000000,mi empleador,mi empleador,no,,,si,50000000,si,http://linkedin.com,Medellin,Colombia,1987,0,él,no,,60,0,40,60,Desarrollo,26486.5,Intermedio,98000050.0,6,1,Colombia,Colombia
40,Extranjera,"servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,Ingeniero de software,no,70 - 80%,10 - 20%,10 - 20%,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,Javascript,"Python, TypeScript",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,ningúno,no,no,no,bachiller,No,,3,pesos,72000000.0,6000000,54000000,mi empleador,mi empleador,si - dividendos,,,no,0,si,http://linkedin.com,Bogota,Colombia,1994,0,él,no,,80,0,20,20,Desarrollo,19459.5,Avanzado,72000150.0,4,1,Colombia,Colombia
41,Extranjera,otro,2 - 5,Full Stack Engineer,no,80 - 90%,0 - 10%,0 - 10%,0 - 10%,1+ año,5 - 10 años,Python,JavaScript,contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo remoto,ningúno,si,no,si,bachiller,No,,3,pesos,87000000.0,12000000,87000000,mi empleador,mi empleador,no,,,no,0,si,http://linkedin.com,Envigado,Colombia,1995,0,él,no,,90,10,10,10,Desarrollo,23513.5,Avanzado,86999950.0,5,1,Colombia,Colombia
