,Tipo de Empresa,Mercado,Edad Empresa,Rol,Fundador,% en Desarrollo,% en Gerencia de proyectos,% liderazgo técnico,% Gerencia de ingeniería,Experiencia en rol actual,Experiencia en desarrollo de software,Lenguaje más usado,Otro lenguaje ,Tipo de relación laboral,Modo de trabajo,Preferencias de modo,Tipo de titulo,PRE-grado relacionado Ing,POST-grado relacionado a Ing,Clases de programación en la universidad,Max Titulo,Bootcamp,Url bootcamp,Nivel de Ingles,Moneda de Pago,Remuneración Anual,Remuneración anual adicional,Remuneración Anual anterior,Pago Seguro de Salud,Pago Seguridad Social,Acciones dentro de la empresa,Total acciones,Precio acciones,Freelancer,Ingresos freelancer,Salario Justo,Web de trabajo,Ciudad Residencia,Origen,Año de Nacimiento,Cnt Hijos,Genero,Minoría racial o étnica,Horas de trabajo,Máx % Dev,Máx % I.M,Máx % Tech L,Máx % PM,Rol principal,Ingreso en dólares,Nivel de ingles,Ingreso en pesos,Order by Exp,count,Origen 2,Nacionalidad
191,,consultoría y servicios de desarrollo de software a la medida,más de 10,Senior Backend Developer,no,90 - 100%,10 - 20%,10 - 20%,no tengo responsabilidades gerenciales,5 - 10 años,5 - 10 años,Ruby,"Go, JavaScript, Ruby, Swift",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,pregrado,No,,3,pesos,130000000.0,20000000,50000000,mi empleador,mi empleador,no,,,no,0,si,https://linkedin.com,Barranquilla,Colombia,1984,1,él,no,40.0,100,0,20,20,Desarrollo,35135.1,Avanzado,129999870.0,5,1,Colombia,Colombia
192,"Colombiana, Mer EEUU",consultoría y servicios de desarrollo de software a la medida,más de 10,Software Developer Engineer in Test,no,90 - 100%,no tengo responsabilidades de este tipo,40 - 50%,0 - 10%,3 - 5 años,5 - 10 años,Java,"JavaScript, Shell",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,,2,pesos,84000000.0,21400000,72000000,mi empleador,mi empleador,no,,,no,0,si,http://linkedin.com,Cali,Colombia,1990,0,él,no,48.0,100,10,50,0,Desarrollo,22702.7,Intermedio,83999990.0,5,1,Colombia,Colombia
193,"Colombiana, Mer Local","servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",5 - 10,Ingeniero de Software,no,90 - 100%,0 - 10%,10 - 20%,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,Php,"ninguno,  por que soy manager 😭",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,técnico,si,no,si,"técnico, tecnología, bachiller técnico",No,,1,pesos,21600000.0,2160000,18000000,mi empleador,mi empleador,no,,,si,5000000,no,https://angel.co,Cucuta,Colombia,1992,1,él,no,49.0,100,0,20,10,Desarrollo,5837.8,Básico,21599860.0,5,1,Colombia,Colombia
194,"Colombiana, Mer Local",consultoría y servicios de desarrollo de software a la medida,5 - 10,Ingeniero desarrollador de software nivel 1,no,80 - 90%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,1+ año,2+ años,C#,"JavaScript, TSQL, TypeScript",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo en oficina,universitario,si,no,si,pregrado,No,,1,pesos,19000000.0,19000000,15000000,mi empleador,mi empleador,no,,,no,0,no,,Cartagena,Colombia,1994,0,él,no,50.0,90,0,0,0,Desarrollo,5135.1,Básico,18999870.0,3,1,Colombia,Colombia
195,Extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Web Engineer,no,70 - 80%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,3 - 5 años,Javascript,TypeScript,contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,estoy estudiando,soy estudiante de pre-grado relacionado a ing de sistemas,no,si,bachiller,Sí,https://hugeinc.com,2,pesos,81600000.0,0,50000000,mi empleador,mi empleador,no,,,no,0,si,,Medellin,Colombia,1996,0,él,no,40.0,80,0,0,0,Desarrollo,22054.1,Intermedio,81600170.0,4,1,Colombia,Colombia
196,"Colombiana, Mer Local",consultoría y servicios de desarrollo de software a la medida,5 - 10,Ingeniero de desarrollo y soporte,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,menos de 1 año,2+ años,Typescript,"C#, JavaScript, PHP",contrato a termino indefinido,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo flexible,universitario,si,no,si,pregrado,No,,1,pesos,38400000.0,0,24000000,mi empleador,mi empleador,no,,,no,0,no,,Armenia,Colombia,1995,0,él,no,45.0,100,0,0,0,Desarrollo,10378.4,Básico,38400080.0,3,1,Colombia,Colombia
197,"Colombiana, Mer Local",consultoría y servicios de desarrollo de software a la medida,más de 10,Arquitecto desarrollador,no,90 - 100%,no tengo responsabilidades de este tipo,no tengo responsabilidades de liderazgo técnico,no tengo responsabilidades gerenciales,2+ años,3 - 5 años,C#,"JavaScript, PowerShell",contrato a termino indefinido,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,1,pesos,54000000.0,2000000,15600000,mi empleador,mi empleador,no,,,no,0,si,http://linkedin.com,Rionegro,Colombia,1991,0,él,no,48.0,100,0,0,0,Desarrollo,14594.6,Básico,54000020.0,4,1,Colombia,Colombia
198,Extranjera,consultoría y servicios de desarrollo de software a la medida,5 - 10,Developer,no,90 - 100%,no tengo responsabilidades de este tipo,0 - 10%,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,Javascript,JavaScript,contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,presencial (ocupa más del 60% de su tiempo en una oficina),trabajo flexible,universitario,si,no,si,pregrado,No,,3,pesos,87600000.0,0,51600000,mi empleador,mi empleador,no,,,no,0,si,,Cali,Colombia,1991,0,él,no,40.0,100,0,10,0,Desarrollo,23675.7,Avanzado,87600090.0,5,1,Colombia,Colombia
199,"Colombiana, Mer Latam","servicio o producto de tecnología (similar a dropbox, github, stripe, heroku o hardware)",2 - 5,Ingeniera de Software,no,70 - 80%,0 - 10%,20 - 30%,no tengo responsabilidades gerenciales,1+ año,3 - 5 años,Go,JavaScript,contrato a termino indefinido,"flexible (va a la oficina, pero puede trabajar desde casa cuando quiera)",trabajo flexible,universitario,si,no,si,pregrado,No,,2,pesos,57600000.0,4800000,26400000,mi empleador,mi empleador,si - stock options,,,no,0,si,https://linkedin.com,Cali,Colombia,1995,0,ella,no,40.0,80,0,30,10,Desarrollo,15567.6,Intermedio,57600120.0,4,1,Colombia,Colombia
200,Extranjera,"servicio no tecnológico (banca, seguros, contabilidad, etc)",más de 10,.Net Developer - Architect,no,60 - 70%,20 - 30%,0 - 10%,no tengo responsabilidades gerenciales,3 - 5 años,5 - 10 años,C#,"JavaScript, PHP, TSQL, TypeScript",contrato a termino indefinido con empresa local pero trabajo para empresa extranjera,"remoto (ocupa más del 70% de su tiempo trabajando en casa, cowork o un cafe)",trabajo remoto,universitario,no,no,si,maestria,No,,3,pesos,144000000.0,0,95000000,mi empleador,mi empleador,no,,,si,170000000,si,http://linkedin.com,Bogota,Colombia,1988,0,él,no,60.0,70,0,10,30,Desarrollo,38918.9,Avanzado,143999930.0,5,1,Colombia,Colombia
